date,temperature,uncertainty
1850-01-01,1.2833e+01,3.67e-01
1850-02-01,1.3588e+01,4.14e-01
1850-03-01,1.4043e+01,3.41e-01
1850-04-01,1.4667e+01,2.67e-01
1850-05-01,1.5507e+01,2.49e-01
1850-06-01,1.6353e+01,2.45e-01
1850-07-01,1.6783e+01,2.38e-01
1850-08-01,1.6718e+01,2.80e-01
1850-09-01,1.5886e+01,2.54e-01
1850-10-01,1.4831e+01,2.97e-01
1850-11-01,1.3897e+01,3.68e-01
1850-12-01,1.3300e+01,3.78e-01
1851-01-01,1.3245e+01,3.62e-01
1851-02-01,1.3331e+01,3.61e-01
1851-03-01,1.3897e+01,3.30e-01
1851-04-01,1.4640e+01,2.98e-01
1851-05-01,1.5771e+01,3.22e-01
1851-06-01,1.6496e+01,2.61e-01
1851-07-01,1.6831e+01,2.44e-01
1851-08-01,1.6621e+01,2.76e-01
1851-09-01,1.6058e+01,2.50e-01
1851-10-01,1.5213e+01,3.58e-01
1851-11-01,1.4161e+01,3.44e-01
1851-12-01,1.3638e+01,3.39e-01
1852-01-01,1.3231e+01,4.38e-01
1852-02-01,1.3311e+01,3.71e-01
1852-03-01,1.3736e+01,3.17e-01
1852-04-01,1.4786e+01,3.77e-01
1852-05-01,1.5899e+01,2.98e-01
1852-06-01,1.6619e+01,2.43e-01
1852-07-01,1.6984e+01,2.78e-01
1852-08-01,1.6566e+01,2.77e-01
1852-09-01,1.6038e+01,2.61e-01
1852-10-01,1.5178e+01,2.50e-01
1852-11-01,1.3948e+01,2.60e-01
1852-12-01,1.3782e+01,4.27e-01
1853-01-01,1.3143e+01,3.56e-01
1853-02-01,1.3362e+01,4.57e-01
1853-03-01,1.4033e+01,3.06e-01
1853-04-01,1.4919e+01,2.83e-01
1853-05-01,1.5793e+01,2.61e-01
1853-06-01,1.6455e+01,2.40e-01
1853-07-01,1.6999e+01,2.38e-01
1853-08-01,1.6789e+01,2.50e-01
1853-09-01,1.5942e+01,2.59e-01
1853-10-01,1.4874e+01,2.11e-01
1853-11-01,1.3829e+01,2.90e-01
1853-12-01,1.3324e+01,2.55e-01
1854-01-01,1.2983e+01,3.13e-01
1854-02-01,1.3248e+01,3.42e-01
1854-03-01,1.4089e+01,2.67e-01
1854-04-01,1.4945e+01,2.42e-01
1854-05-01,1.5793e+01,2.33e-01
1854-06-01,1.6286e+01,2.06e-01
1854-07-01,1.6775e+01,2.82e-01
1854-08-01,1.6707e+01,2.88e-01
1854-09-01,1.6098e+01,2.10e-01
1854-10-01,1.5378e+01,3.09e-01
1854-11-01,1.4123e+01,2.61e-01
1854-12-01,1.3467e+01,3.64e-01
1855-01-01,1.3384e+01,4.42e-01
1855-02-01,1.3646e+01,4.02e-01
1855-03-01,1.4172e+01,2.94e-01
1855-04-01,1.5187e+01,3.28e-01
1855-05-01,1.5822e+01,2.67e-01
1855-06-01,1.6445e+01,2.64e-01
1855-07-01,1.6675e+01,2.25e-01
1855-08-01,1.6685e+01,2.14e-01
1855-09-01,1.5829e+01,2.26e-01
1855-10-01,1.5075e+01,2.64e-01
1855-11-01,1.4118e+01,2.46e-01
1855-12-01,1.3215e+01,3.22e-01
1856-01-01,1.3368e+01,2.61e-01
1856-02-01,1.3311e+01,3.06e-01
1856-03-01,1.3957e+01,2.52e-01
1856-04-01,1.4945e+01,2.17e-01
1856-05-01,1.5813e+01,2.96e-01
1856-06-01,1.6492e+01,2.64e-01
1856-07-01,1.6675e+01,1.85e-01
1856-08-01,1.6390e+01,2.85e-01
1856-09-01,1.5641e+01,2.89e-01
1856-10-01,1.4783e+01,2.56e-01
1856-11-01,1.3856e+01,2.11e-01
1856-12-01,1.3321e+01,3.00e-01
1857-01-01,1.2972e+01,3.00e-01
1857-02-01,1.3385e+01,2.90e-01
1857-03-01,1.3916e+01,2.78e-01
1857-04-01,1.4481e+01,2.12e-01
1857-05-01,1.5279e+01,2.41e-01
1857-06-01,1.6175e+01,2.67e-01
1857-07-01,1.6478e+01,2.66e-01
1857-08-01,1.6459e+01,2.66e-01
1857-09-01,1.5840e+01,2.41e-01
1857-10-01,1.4918e+01,2.55e-01
1857-11-01,1.3829e+01,2.41e-01
1857-12-01,1.3367e+01,2.60e-01
1858-01-01,1.3221e+01,3.47e-01
1858-02-01,1.3290e+01,2.36e-01
1858-03-01,1.4044e+01,2.55e-01
1858-04-01,1.4967e+01,2.39e-01
1858-05-01,1.5541e+01,2.31e-01
1858-06-01,1.6172e+01,2.48e-01
1858-07-01,1.6510e+01,2.66e-01
1858-08-01,1.6489e+01,2.16e-01
1858-09-01,1.5833e+01,2.13e-01
1858-10-01,1.5114e+01,2.46e-01
1858-11-01,1.4134e+01,2.76e-01
1858-12-01,1.3263e+01,2.49e-01
1859-01-01,1.3058e+01,3.26e-01
1859-02-01,1.3330e+01,3.27e-01
1859-03-01,1.4104e+01,3.12e-01
1859-04-01,1.5197e+01,2.46e-01
1859-05-01,1.5868e+01,2.38e-01
1859-06-01,1.6400e+01,2.26e-01
1859-07-01,1.6494e+01,2.34e-01
1859-08-01,1.6450e+01,2.05e-01
1859-09-01,1.5589e+01,2.04e-01
1859-10-01,1.5062e+01,2.50e-01
1859-11-01,1.4094e+01,2.44e-01
1859-12-01,1.3513e+01,2.87e-01
1860-01-01,1.3170e+01,2.94e-01
1860-02-01,1.3424e+01,2.75e-01
1860-03-01,1.3714e+01,3.02e-01
1860-04-01,1.4861e+01,2.09e-01
1860-05-01,1.5758e+01,2.76e-01
1860-06-01,1.6338e+01,2.40e-01
1860-07-01,1.6737e+01,2.21e-01
1860-08-01,1.6634e+01,2.34e-01
1860-09-01,1.6133e+01,2.42e-01
1860-10-01,1.5076e+01,2.23e-01
1860-11-01,1.3922e+01,2.33e-01
1860-12-01,1.2828e+01,2.77e-01
1861-01-01,1.2475e+01,2.99e-01
1861-02-01,1.2917e+01,2.80e-01
1861-03-01,1.3824e+01,3.00e-01
1861-04-01,1.5018e+01,2.91e-01
1861-05-01,1.5489e+01,2.77e-01
1861-06-01,1.6358e+01,3.19e-01
1861-07-01,1.6547e+01,2.61e-01
1861-08-01,1.6716e+01,2.64e-01
1861-09-01,1.5927e+01,2.43e-01
1861-10-01,1.4905e+01,2.44e-01
1861-11-01,1.4095e+01,2.40e-01
1861-12-01,1.3337e+01,3.24e-01
1862-01-01,1.2658e+01,3.78e-01
1862-02-01,1.3192e+01,2.95e-01
1862-03-01,1.4044e+01,2.84e-01
1862-04-01,1.4825e+01,3.16e-01
1862-05-01,1.5708e+01,2.60e-01
1862-06-01,1.6349e+01,2.44e-01
1862-07-01,1.6593e+01,2.32e-01
1862-08-01,1.6306e+01,2.47e-01
1862-09-01,1.5788e+01,2.45e-01
1862-10-01,1.4902e+01,2.69e-01
1862-11-01,1.3784e+01,3.10e-01
1862-12-01,1.2732e+01,3.72e-01
1863-01-01,1.3296e+01,4.17e-01
1863-02-01,1.3634e+01,3.89e-01
1863-03-01,1.4006e+01,3.12e-01
1863-04-01,1.5010e+01,3.19e-01
1863-05-01,1.5823e+01,2.81e-01
1863-06-01,1.6224e+01,2.66e-01
1863-07-01,1.6575e+01,3.01e-01
1863-08-01,1.6437e+01,2.76e-01
1863-09-01,1.5898e+01,2.83e-01
1863-10-01,1.4978e+01,2.78e-01
1863-11-01,1.3992e+01,2.87e-01
1863-12-01,1.3356e+01,3.87e-01
1864-01-01,1.2879e+01,3.32e-01
1864-02-01,1.3275e+01,3.72e-01
1864-03-01,1.3990e+01,3.07e-01
1864-04-01,1.4830e+01,2.91e-01
1864-05-01,1.5851e+01,2.82e-01
1864-06-01,1.6490e+01,2.85e-01
1864-07-01,1.6715e+01,2.56e-01
1864-08-01,1.6494e+01,2.50e-01
1864-09-01,1.5850e+01,2.71e-01
1864-10-01,1.4972e+01,2.51e-01
1864-11-01,1.4141e+01,2.81e-01
1864-12-01,1.3271e+01,2.76e-01
1865-01-01,1.3503e+01,3.48e-01
1865-02-01,1.3506e+01,3.29e-01
1865-03-01,1.3914e+01,3.23e-01
1865-04-01,1.4861e+01,3.00e-01
1865-05-01,1.5756e+01,2.70e-01
1865-06-01,1.6414e+01,2.77e-01
1865-07-01,1.6749e+01,2.92e-01
1865-08-01,1.6657e+01,2.87e-01
1865-09-01,1.6082e+01,2.90e-01
1865-10-01,1.5157e+01,2.86e-01
1865-11-01,1.4101e+01,3.16e-01
1865-12-01,1.3260e+01,3.33e-01
1866-01-01,1.3467e+01,3.25e-01
1866-02-01,1.3586e+01,3.28e-01
1866-03-01,1.3950e+01,3.09e-01
1866-04-01,1.4713e+01,2.67e-01
1866-05-01,1.5630e+01,2.79e-01
1866-06-01,1.6596e+01,2.58e-01
1866-07-01,1.7060e+01,2.59e-01
1866-08-01,1.6695e+01,2.88e-01
1866-09-01,1.5918e+01,2.72e-01
1866-10-01,1.5062e+01,2.80e-01
1866-11-01,1.4275e+01,2.69e-01
1866-12-01,1.3732e+01,2.99e-01
1867-01-01,1.3371e+01,3.64e-01
1867-02-01,1.3458e+01,3.48e-01
1867-03-01,1.4073e+01,2.67e-01
1867-04-01,1.5100e+01,2.77e-01
1867-05-01,1.5560e+01,2.41e-01
1867-06-01,1.6366e+01,2.52e-01
1867-07-01,1.6672e+01,2.44e-01
1867-08-01,1.6454e+01,2.56e-01
1867-09-01,1.6147e+01,2.54e-01
1867-10-01,1.5318e+01,2.51e-01
1867-11-01,1.4632e+01,3.10e-01
1867-12-01,1.3553e+01,3.65e-01
1868-01-01,1.3012e+01,3.04e-01
1868-02-01,1.3295e+01,3.23e-01
1868-03-01,1.4135e+01,2.56e-01
1868-04-01,1.5082e+01,2.41e-01
1868-05-01,1.5992e+01,2.41e-01
1868-06-01,1.6529e+01,2.31e-01
1868-07-01,1.7025e+01,2.26e-01
1868-08-01,1.6793e+01,2.51e-01
1868-09-01,1.6107e+01,2.17e-01
1868-10-01,1.5376e+01,2.18e-01
1868-11-01,1.4174e+01,2.24e-01
